日期,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
2023-09-26,-2268383760.0,-4.71,-1379476496.0,-2.86,-888907264.0,-1.85,-192013312.0,-0.4,2452270592.0,5.09
2023-09-27,397654784.0,0.66,221794816.0,0.37,175859968.0,0.29,-859186432.0,-1.43,455179264.0,0.76
2023-09-28,676464128.0,1.14,870387968.0,1.47,-193923840.0,-0.33,-758414592.0,-1.28,80964608.0,0.14
2023-10-09,-499466496.0,-0.76,-66593792.0,-0.1,-432872704.0,-0.66,67866368.0,0.1,425664768.0,0.65
2023-10-10,385433344.0,0.57,76509184.0,0.11,308924160.0,0.46,-334172416.0,-0.5,-65564928.0,-0.1
2023-10-11,-719668992.0,-1.06,-298659072.0,-0.44,-421009920.0,-0.62,-536301312.0,-0.79,1249933824.0,1.84
2023-10-12,6313251072.0,6.34,4354384384.0,4.37,1958866688.0,1.97,-1798631680.0,-1.81,-4509294848.0,-4.53
2023-10-13,-4600948736.0,-5.67,-2444702976.0,-3.01,-2156245760.0,-2.66,500221184.0,0.62,4081713664.0,5.03
2023-10-16,-4394675456.0,-5.99,-2073164288.0,-2.82,-2321511168.0,-3.16,498881280.0,0.68,3881412096.0,5.29
2023-10-17,-163756800.0,-0.23,-13955072.0,-0.02,-149801728.0,-0.21,-331978752.0,-0.47,486412288.0,0.69
2023-10-18,-1975664384.0,-2.56,-23344896.0,-0.03,-1952319488.0,-2.53,-358213120.0,-0.46,2322211584.0,3.0
2023-10-19,-3003451648.0,-3.94,-1365914624.0,-1.79,-1637537024.0,-2.15,229540864.0,0.3,2765128960.0,3.63
2023-10-20,1356259328.0,1.61,1403920384.0,1.67,-47661056.0,-0.06,-610720256.0,-0.73,-756068608.0,-0.9
2023-10-23,-5050228480.0,-6.65,-2914907648.0,-3.84,-2135320832.0,-2.81,1015755008.0,1.34,4003223296.0,5.27
2023-10-24,-1471400192.0,-1.68,85140480.0,0.1,-1556540672.0,-1.78,-428356096.0,-0.49,1909060352.0,2.19
2023-10-25,-939676928.0,-1.16,-589568.0,-0.0,-939087360.0,-1.16,-34673152.0,-0.04,972859648.0,1.2
2023-10-26,-2665505280.0,-3.12,-990783488.0,-1.16,-1674721792.0,-1.96,36491008.0,0.04,2620355328.0,3.07
2023-10-27,4475525632.0,4.07,3773002752.0,3.44,702522880.0,0.64,-2433428736.0,-2.22,-1976272128.0,-1.8
2023-10-30,-2078816768.0,-2.14,-383934208.0,-0.4,-1694882560.0,-1.75,164321024.0,0.17,1919910656.0,1.98
2023-10-31,-5693475584.0,-7.24,-2882894336.0,-3.66,-2810581248.0,-3.57,413889792.0,0.53,5271467264.0,6.7
2023-11-01,-1710527744.0,-2.75,-1040711424.0,-1.67,-669816320.0,-1.08,127070464.0,0.2,1556510720.0,2.5
2023-11-02,-3570200064.0,-6.0,-1652973824.0,-2.78,-1917226240.0,-3.22,-328244224.0,-0.55,3886347008.0,6.54
2023-11-03,718645504.0,1.17,914860544.0,1.49,-196215040.0,-0.32,-1341073920.0,-2.19,636258048.0,1.04
2023-11-06,726793216.0,0.77,616041984.0,0.66,110751232.0,0.12,-635680256.0,-0.68,-74336256.0,-0.08
2023-11-07,-1307496192.0,-1.65,242529024.0,0.31,-1550025216.0,-1.95,86603520.0,0.11,1228021760.0,1.55
2023-11-08,-1730693376.0,-2.08,-306371072.0,-0.37,-1424322304.0,-1.71,-345677056.0,-0.41,2085779968.0,2.5
2023-11-09,97169920.0,0.11,963237632.0,1.14,-866067712.0,-1.02,-530025728.0,-0.63,448796672.0,0.53
2023-11-10,-2842984192.0,-4.13,-1423813376.0,-2.07,-1419170816.0,-2.06,310477568.0,0.45,2523631872.0,3.67
2023-11-13,-2511841536.0,-3.66,-1623026432.0,-2.37,-888815104.0,-1.3,853285632.0,1.24,1652370944.0,2.41
2023-11-14,-2528606976.0,-3.51,-1192095232.0,-1.65,-1336511744.0,-1.85,549088512.0,0.76,1977676800.0,2.74
2023-11-15,3227938816.0,3.09,3142832128.0,3.01,85106688.0,0.08,-1455127040.0,-1.39,-1760216064.0,-1.68
2023-11-16,-6572999936.0,-8.07,-3659126272.0,-4.49,-2913873664.0,-3.58,1456288512.0,1.79,5075776512.0,6.23
2023-11-17,-1162171904.0,-1.65,-335810048.0,-0.48,-826361856.0,-1.18,234461184.0,0.33,932010496.0,1.33
2023-11-20,-1771015936.0,-2.39,-883209984.0,-1.19,-887805952.0,-1.2,342961920.0,0.46,1435934720.0,1.94
2023-11-21,-4748101120.0,-6.11,-2472367616.0,-3.18,-2275733504.0,-2.93,-48091904.0,-0.06,4855577088.0,6.25
2023-11-22,-7001466624.0,-9.95,-3368700160.0,-4.79,-3632766464.0,-5.16,490770688.0,0.7,6590385408.0,9.37
2023-11-23,726217472.0,1.04,1250288896.0,1.79,-524071424.0,-0.75,-1564378368.0,-2.24,744124416.0,1.07
2023-11-24,-4909902592.0,-7.03,-3146439680.0,-4.51,-1763462912.0,-2.53,753429504.0,1.08,4256317440.0,6.1
2023-11-27,-2903887616.0,-4.67,-1337670656.0,-2.15,-1566216960.0,-2.52,99383552.0,0.16,2962810368.0,4.77
2023-11-28,-2826582016.0,-3.72,-1828109568.0,-2.4,-998472448.0,-1.31,765512704.0,1.01,2016488960.0,2.65
2023-11-29,-3504686592.0,-4.7,-1720264192.0,-2.31,-1784422400.0,-2.39,332730368.0,0.45,3058285056.0,4.1
2023-11-30,-3638317056.0,-5.39,-1778971392.0,-2.63,-1859345664.0,-2.75,277839360.0,0.41,3277694464.0,4.85
2023-12-01,-2915185664.0,-4.09,-1552620032.0,-2.18,-1362565632.0,-1.91,-77135872.0,-0.11,2903133184.0,4.08
2023-12-04,-971754240.0,-1.43,-328674816.0,-0.48,-643079424.0,-0.95,227476736.0,0.34,731569408.0,1.08
2023-12-05,-1207214080.0,-1.66,-341148928.0,-0.47,-866065152.0,-1.19,86372352.0,0.12,1170500096.0,1.61
2023-12-06,4976690432.0,4.93,4354459392.0,4.31,622231040.0,0.62,-1967283968.0,-1.95,-2736701184.0,-2.71
2023-12-07,-3973731072.0,-5.1,-2821572096.0,-3.62,-1152158976.0,-1.48,502327552.0,0.65,3503116800.0,4.5
2023-12-08,-2786682368.0,-3.62,-1247717888.0,-1.62,-1538964480.0,-2.0,360124160.0,0.47,2315766016.0,3.01
2023-12-11,-2273915392.0,-3.11,-552332288.0,-0.75,-1721583104.0,-2.35,-165236224.0,-0.23,2366188544.0,3.23
2023-12-12,-2011265520.0,-3.81,-703790064.0,-1.33,-1307475456.0,-2.48,590763008.0,1.12,1412242688.0,2.67
2023-12-13,-3669601024.0,-6.47,-1383359488.0,-2.44,-2286241536.0,-4.03,523131648.0,0.92,3159772416.0,5.57
2023-12-14,-2435453440.0,-4.18,-1360094208.0,-2.33,-1075359232.0,-1.84,265725440.0,0.46,2192977664.0,3.76
2023-12-15,495266816.0,0.81,340759808.0,0.56,154507008.0,0.25,-30506752.0,-0.05,-432918528.0,-0.71
2023-12-18,-3593417984.0,-6.1,-1531228160.0,-2.6,-2062189824.0,-3.5,107470080.0,0.18,3454930432.0,5.87
2023-12-19,-1757356640.0,-3.42,-923536480.0,-1.8,-833820160.0,-1.62,-269318144.0,-0.52,1937300992.0,3.77
2023-12-20,-2785084160.0,-5.29,-964087808.0,-1.83,-1820996352.0,-3.46,290724352.0,0.55,2537473280.0,4.82
2023-12-21,872769536.0,1.33,830020608.0,1.27,42748928.0,0.07,-764343296.0,-1.17,-183671808.0,-0.28
2023-12-22,540378624.0,0.72,727580928.0,0.98,-187202304.0,-0.25,-287448576.0,-0.39,-291421440.0,-0.39
2023-12-25,-787071904.0,-1.55,-312687776.0,-0.62,-474384128.0,-0.94,403250944.0,0.8,432832256.0,0.86
2023-12-26,-1785588688.0,-3.5,-495264208.0,-0.97,-1290324480.0,-2.53,-131269376.0,-0.26,1926240768.0,3.77
2023-12-27,-2140453792.0,-3.88,-958737312.0,-1.74,-1181716480.0,-2.14,44206848.0,0.08,2020155648.0,3.66
2023-12-28,4649480960.0,4.4,3542883072.0,3.35,1106597888.0,1.05,-2019983872.0,-1.91,-2480690944.0,-2.35
2023-12-29,-3775453952.0,-4.75,-1330271488.0,-1.67,-2445182464.0,-3.08,-571312384.0,-0.72,4306766848.0,5.42
2024-01-02,-4379307008.0,-6.55,-1934525952.0,-2.89,-2444781056.0,-3.66,555600640.0,0.83,3821675776.0,5.71
2024-01-03,-2261859072.0,-3.53,-1051574528.0,-1.64,-1210284544.0,-1.89,120426496.0,0.19,2072861440.0,3.24
2024-01-04,-3513477056.0,-6.07,-1613107648.0,-2.78,-1900369408.0,-3.28,288091904.0,0.5,3158148096.0,5.45
2024-01-05,-1695689984.0,-2.41,-987847680.0,-1.41,-707842304.0,-1.01,32273408.0,0.05,1821155840.0,2.59
2024-01-08,-1291918336.0,-2.07,-241003520.0,-0.39,-1050914816.0,-1.69,113191680.0,0.18,1016779520.0,1.63
2024-01-09,18305024.0,0.03,367010304.0,0.55,-348705280.0,-0.52,92042496.0,0.14,-186033152.0,-0.28
2024-01-10,-174882304.0,-0.26,86454272.0,0.13,-261336576.0,-0.38,20616704.0,0.03,153750272.0,0.22
2024-01-11,4218233088.0,4.63,3519672576.0,3.87,698560512.0,0.77,-1830781184.0,-2.01,-2352734464.0,-2.58
2024-01-12,-2948743936.0,-3.74,-1585340160.0,-2.01,-1363403776.0,-1.73,-271730688.0,-0.35,3109411840.0,3.95
2024-01-15,-1414892288.0,-2.3,-202220800.0,-0.33,-1212671488.0,-1.97,-539739904.0,-0.88,1895757312.0,3.09
2024-01-16,-862968320.0,-1.13,-116377856.0,-0.15,-746590464.0,-0.98,-411592960.0,-0.54,1311855104.0,1.72
2024-01-17,-5524076368.0,-8.22,-2762772816.0,-4.11,-2761303552.0,-4.11,463378176.0,0.69,5023061248.0,7.48
2024-01-18,-682243584.0,-0.8,305509888.0,0.36,-987753472.0,-1.16,-261148160.0,-0.31,966043648.0,1.13
2024-01-19,-1922461952.0,-2.78,-1037435136.0,-1.5,-885026816.0,-1.28,342540032.0,0.49,1574943744.0,2.27
2024-01-22,-5118711552.0,-6.31,-2676227072.0,-3.3,-2442484480.0,-3.01,178251008.0,0.22,4892673280.0,6.03
2024-01-23,618064128.0,0.91,891197696.0,1.31,-273133568.0,-0.4,-688242944.0,-1.01,67232256.0,0.1
2024-01-24,-2167785984.0,-3.09,-1080035840.0,-1.54,-1087750144.0,-1.55,-280240896.0,-0.4,2393947904.0,3.41
2024-01-25,1573145600.0,2.09,1003939584.0,1.33,569206016.0,0.75,-971285760.0,-1.29,-649384704.0,-0.86
2024-01-26,-3794325120.0,-5.69,-2095381120.0,-3.14,-1698944000.0,-2.55,971054080.0,1.46,2790042368.0,4.19
2024-01-29,-4918858752.0,-7.19,-2085478656.0,-3.05,-2833380096.0,-4.14,423493888.0,0.62,4415516672.0,6.46
2024-01-30,-4023818000.0,-6.71,-1833963024.0,-3.06,-2189854976.0,-3.65,246081536.0,0.41,3756669952.0,6.26
2024-01-31,-2495165696.0,-3.37,-789778176.0,-1.07,-1705387520.0,-2.31,-823852288.0,-1.11,3320711168.0,4.49
2024-02-01,-191752064.0,-0.33,248641152.0,0.42,-440393216.0,-0.75,-397276416.0,-0.68,538446848.0,0.92
2024-02-02,-4728490144.0,-6.73,-2139168928.0,-3.05,-2589321216.0,-3.69,-112120320.0,-0.16,4789178624.0,6.82
2024-02-05,-2372879616.0,-2.99,-933251584.0,-1.18,-1439628032.0,-1.81,-509617152.0,-0.64,2860928768.0,3.6
2024-02-06,1645453312.0,1.96,1186838272.0,1.41,458615040.0,0.55,-1147701760.0,-1.37,-462461184.0,-0.55
2024-02-07,-1293963264.0,-1.38,9718272.0,0.01,-1303681536.0,-1.39,-2720430848.0,-2.9,4022932224.0,4.28
2024-02-08,-670015232.0,-0.72,30839808.0,0.03,-700855040.0,-0.76,-1212327936.0,-1.31,1890050560.0,2.04
2024-02-19,-1271216896.0,-1.63,-761800704.0,-0.98,-509416192.0,-0.65,797402368.0,1.02,471311872.0,0.6
2024-02-20,-512840960.0,-0.82,114791168.0,0.18,-627632128.0,-1.01,-199750912.0,-0.32,723279872.0,1.16
2024-02-21,2092275456.0,2.54,1401501952.0,1.7,690773504.0,0.84,-1431934464.0,-1.74,-648486144.0,-0.79
2024-02-22,-1997083392.0,-3.07,-558060032.0,-0.86,-1439023360.0,-2.21,486424576.0,0.75,1463865600.0,2.25
2024-02-23,580100096.0,0.77,439785728.0,0.59,140314368.0,0.19,-348602880.0,-0.47,-249381376.0,-0.33
2024-02-26,-683272704.0,-0.77,36833024.0,0.04,-720105728.0,-0.81,285683200.0,0.32,372981504.0,0.42
2024-02-27,2203550464.0,2.41,2381294336.0,2.61,-177743872.0,-0.19,-1183561984.0,-1.3,-982595584.0,-1.08
2024-02-28,-6594405120.0,-5.09,-3547377920.0,-2.74,-3047027200.0,-2.35,790560512.0,0.61,5778747392.0,4.46
2024-02-29,3716702976.0,3.35,2335795968.0,2.11,1380907008.0,1.25,-904103424.0,-0.82,-2772002560.0,-2.5
2024-03-01,-1563597056.0,-1.58,-776441088.0,-0.78,-787155968.0,-0.8,318528000.0,0.32,1197203456.0,1.21
2024-03-04,-3868631296.0,-4.16,-1563289856.0,-1.68,-2305341440.0,-2.48,359218688.0,0.39,3440784896.0,3.7
2024-03-05,-6179013376.0,-6.79,-3343824640.0,-3.68,-2835188736.0,-3.12,154734336.0,0.17,5961126912.0,6.55
2024-03-06,-780263168.0,-0.99,-474426112.0,-0.6,-305837056.0,-0.39,-320501760.0,-0.41,1114320384.0,1.41
2024-03-07,-2598685440.0,-3.11,-1005756416.0,-1.2,-1592929024.0,-1.91,26524416.0,0.03,2520275712.0,3.01
2024-03-08,762755072.0,1.01,880730112.0,1.17,-117975040.0,-0.16,-302945024.0,-0.4,-476147456.0,-0.63
2024-03-11,5939265280.0,4.7,4250984448.0,3.37,1688280832.0,1.34,-1638373120.0,-1.3,-4205324288.0,-3.33
2024-03-12,-4486483200.0,-3.65,-2393797888.0,-1.95,-2092685312.0,-1.7,988283648.0,0.8,3418987008.0,2.78
2024-03-13,-2129732352.0,-2.24,-683036928.0,-0.72,-1446695424.0,-1.52,-67261696.0,-0.07,2142356736.0,2.25
2024-03-14,-3332903424.0,-3.54,-1202297088.0,-1.28,-2130606336.0,-2.26,402294272.0,0.43,2911219968.0,3.09
2024-03-15,-328998656.0,-0.34,-70314496.0,-0.07,-258684160.0,-0.27,400749568.0,0.42,-29048064.0,-0.03
2024-03-18,854914304.0,0.74,730735360.0,0.63,124178944.0,0.11,-182566912.0,-0.16,-694031872.0,-0.6
2024-03-19,-4779450368.0,-4.86,-2285117440.0,-2.32,-2494332928.0,-2.53,425938176.0,0.43,4343692288.0,4.41
2024-03-20,-1460882176.0,-1.74,-664058368.0,-0.79,-796823808.0,-0.95,125317632.0,0.15,1311430656.0,1.56
2024-03-21,-2636448768.0,-3.06,-1082247680.0,-1.26,-1554201088.0,-1.81,-431513856.0,-0.5,3001491456.0,3.49
2024-03-22,-5483687424.0,-6.02,-2625574912.0,-2.88,-2858112512.0,-3.14,269659392.0,0.3,5175804416.0,5.68
2024-03-25,-3689654784.0,-4.63,-976076800.0,-1.22,-2713577984.0,-3.41,-88368128.0,-0.11,3745062144.0,4.7
2024-03-26,1473543936.0,1.64,792969472.0,0.88,680574464.0,0.76,-410285312.0,-0.46,-1048915200.0,-1.17
2024-03-27,-4779374080.0,-5.75,-2007442432.0,-2.42,-2771931648.0,-3.33,720314880.0,0.87,4062290176.0,4.89
2024-03-28,885825280.0,1.09,547989760.0,0.67,337835520.0,0.42,-201918720.0,-0.25,-694465280.0,-0.85
