序号,代码,名称,最新价,3日涨跌幅,3日主力净流入-净额,3日主力净流入-净占比,3日超大单净流入-净额,3日超大单净流入-净占比,3日大单净流入-净额,3日大单净流入-净占比,3日中单净流入-净额,3日中单净流入-净占比,3日小单净流入-净额,3日小单净流入-净占比
1,000977,浪潮信息,44.35,10.16,2450706688.0,14.2,2479786816.0,14.37,-29080128.0,-0.17,-1517469232.0,-8.79,-933237456.0,-5.41
2,300750,宁德时代,188.78,2.15,537663088.0,4.0,202800176.0,1.51,334862912.0,2.49,38442352.0,0.29,-576105424.0,-4.28
3,301536,N星宸,48.1,197.65,409320144.0,32.77,107381094.0,8.6,301939050.0,24.17,65898192.0,5.28,-475218336.0,-38.05
4,601899,紫金矿业,16.1,2.29,406620500.0,5.4,139718788.0,1.86,266901712.0,3.54,-230484848.0,-3.06,-176135632.0,-2.34
5,002625,光启技术,20.28,16.89,336672947.0,5.35,342661971.0,5.45,-5989024.0,-0.1,-219247200.0,-3.49,-117425744.0,-1.87
6,000725,京东方Ａ,4.03,2.54,333048472.0,8.69,150947111.0,3.94,182101361.0,4.75,-49132136.0,-1.28,-283916349.0,-7.41
7,002352,顺丰控股,36.34,-3.79,292528752.0,9.15,296912620.0,9.29,-4383868.0,-0.14,-199636274.0,-6.25,-92892491.0,-2.91
8,603501,韦尔股份,98.5,1.18,284288739.0,9.75,59859312.0,2.05,224429427.0,7.7,40033432.0,1.37,-324322155.0,-11.12
9,603993,洛阳钼业,8.17,4.48,280696259.0,5.84,187880451.0,3.91,92815808.0,1.93,-59449360.0,-1.24,-221246928.0,-4.6
10,000099,中信海直,14.29,19.58,248558030.0,11.47,330703033.0,15.25,-82145003.0,-3.79,-143616245.0,-6.62,-104941789.0,-4.84
11,000100,TCL科技,4.66,5.19,243617162.0,6.13,175135050.0,4.41,68482112.0,1.72,-83693936.0,-2.11,-159923254.0,-4.02
12,601728,中国电信,5.98,2.22,240665371.0,10.23,140822906.0,5.99,99842465.0,4.25,-24952551.0,-1.06,-215712821.0,-9.17
13,002151,北斗星通,32.28,6.64,228982912.0,3.72,288503856.0,4.68,-59520944.0,-0.97,-81028624.0,-1.31,-147954297.0,-2.4
14,000333,美的集团,64.58,2.67,223173332.0,3.31,154761092.0,2.3,68412240.0,1.02,-264749120.0,-3.93,41575792.0,0.62
15,001359,N平安电,33.11,90.4,222266764.0,22.25,43775262.0,4.38,178491502.0,17.87,321456253.0,32.18,-543723008.0,-54.44
16,600309,万华化学,80.45,2.82,200199708.0,5.61,46898763.0,1.31,153300945.0,4.29,-11952864.0,-0.33,-188246828.0,-5.27
17,603986,兆易创新,72.75,-1.06,190785544.0,3.58,78180152.0,1.47,112605392.0,2.11,-182323280.0,-3.42,-8462272.0,-0.16
18,300567,精测电子,72.86,0.91,187882714.0,9.74,137647806.0,7.14,50234908.0,2.6,-103782085.0,-5.38,-84100623.0,-4.36
19,300075,数字政通,17.49,5.55,182648222.0,6.67,247193244.0,9.03,-64545022.0,-2.36,-148852060.0,-5.44,-33796167.0,-1.23
20,300292,吴通控股,3.88,14.79,175349526.0,17.57,186766305.0,18.71,-11416779.0,-1.14,-79955275.0,-8.01,-95394250.0,-9.56
21,603721,中广天择,43.0,12.18,174181809.0,3.55,268014609.0,5.46,-93832800.0,-1.91,-300931568.0,-6.13,126749776.0,2.58
22,003816,中国广核,3.98,3.65,173491945.0,9.61,37593010.0,2.08,135898935.0,7.53,-50315793.0,-2.79,-123176153.0,-6.82
23,300073,当升科技,38.04,16.4,170431225.0,5.64,83876387.0,2.78,86554838.0,2.87,-1098400.0,-0.04,-169332826.0,-5.61
24,002709,天赐材料,21.78,8.79,170264571.0,4.64,132928148.0,3.62,37336423.0,1.02,11424656.0,0.31,-181689235.0,-4.95
25,002097,山河智能,8.29,8.65,168523307.0,6.74,193332412.0,7.74,-24809105.0,-0.99,-87462948.0,-3.5,-81060363.0,-3.24
26,300280,紫天科技,44.72,3.76,159551091.0,5.51,73586001.0,2.54,85965090.0,2.97,-52334048.0,-1.81,-107217029.0,-3.7
27,601857,中国石油,9.25,-0.32,158063937.0,3.58,31400289.0,0.71,126663648.0,2.87,-73526704.0,-1.66,-84537223.0,-1.91
28,300343,联创股份,6.8,30.02,156820053.0,5.88,128530079.0,4.82,28289974.0,1.06,-21384212.0,-0.8,-135435852.0,-5.08
29,001979,招商蛇口,9.66,0.42,155992351.0,8.32,99738006.0,5.32,56254345.0,3.0,-33593499.0,-1.79,-122398841.0,-6.53
30,002281,光迅科技,38.52,2.86,155419395.0,1.48,271426675.0,2.58,-116007280.0,-1.1,-245954064.0,-2.34,90534688.0,0.86
31,601689,拓普集团,63.96,3.65,150395067.0,5.39,84094344.0,3.02,66300723.0,2.38,-20290364.0,-0.73,-130104714.0,-4.67
32,603613,国联股份,23.49,1.12,145293859.0,6.15,31184730.0,1.32,114109129.0,4.83,2331307.0,0.1,-147625143.0,-6.24
33,002869,金溢科技,21.78,21.27,139813458.0,9.07,154558102.0,10.03,-14744644.0,-0.96,-68703214.0,-4.46,-71110245.0,-4.61
34,300347,泰格医药,52.25,4.71,136720638.0,3.65,-59814787.0,-1.6,196535425.0,5.25,296769392.0,7.92,-433490029.0,-11.57
35,301091,深城交,35.88,23.77,133873999.0,5.75,253348985.0,10.88,-119474986.0,-5.13,-130047857.0,-5.59,-3826138.0,-0.16
36,688111,金山办公,298.99,-6.27,132854765.0,3.24,61806765.0,1.51,71048000.0,1.73,-117733488.0,-2.87,-15121285.0,-0.37
37,600519,贵州茅台,1701.64,0.75,131601856.0,1.09,-204569712.0,-1.69,336171568.0,2.78,-130675552.0,-1.08,-926320.0,-0.01
38,600900,长江电力,24.85,-0.52,126165440.0,2.2,148130128.0,2.58,-21964688.0,-0.38,-399951840.0,-6.96,273786382.0,4.77
39,300735,光弘科技,29.17,13.55,120648471.0,1.78,-10956905.0,-0.16,131605376.0,1.94,-139907616.0,-2.06,19259120.0,0.28
40,603327,福蓉科技,19.89,6.36,119050586.0,4.66,139656182.0,5.46,-20605596.0,-0.81,-90965856.0,-3.56,-28084740.0,-1.1
41,300274,阳光电源,103.2,0.58,116393165.0,2.34,69290157.0,1.4,47103008.0,0.95,-217311840.0,-4.38,100918636.0,2.03
42,000001,平安银行,10.49,0.87,116108512.0,2.55,-23315856.0,-0.51,139424368.0,3.07,-75834208.0,-1.67,-40274317.0,-0.89
43,300261,雅本化学,7.4,27.37,116028362.0,8.71,148969893.0,11.18,-32941531.0,-2.47,-10790129.0,-0.81,-105238233.0,-7.9
44,600031,三一重工,14.45,-1.1,115824850.0,2.97,-90349076.0,-2.32,206173926.0,5.28,25695968.0,0.66,-141520843.0,-3.63
45,300552,万集科技,31.23,20.12,115529558.0,4.31,33974131.0,1.27,81555427.0,3.04,-58653372.0,-2.19,-56876193.0,-2.12
46,300760,迈瑞医疗,279.89,-2.78,114360864.0,3.93,7724378.0,0.27,106636486.0,3.67,-108870128.0,-3.75,-5490738.0,-0.19
47,000701,厦门信达,4.79,10.88,110350812.0,11.58,67185407.0,7.05,43165405.0,4.53,3208385.0,0.34,-113559197.0,-11.92
48,002682,龙洲股份,5.45,10.32,110116471.0,7.94,128876870.0,9.29,-18760399.0,-1.35,-60092127.0,-4.33,-50024339.0,-3.61
49,000630,铜陵有色,3.91,2.36,109455606.0,3.3,123016767.0,3.71,-13561161.0,-0.41,-35950996.0,-1.08,-73504605.0,-2.22
50,002475,立讯精密,29.75,-2.36,108770241.0,1.27,24851649.0,0.29,83918592.0,0.98,-54277904.0,-0.63,-54492368.0,-0.64
51,000858,五 粮 液,153.1,0.91,108372391.0,1.57,-63611529.0,-0.92,171983920.0,2.49,-39846640.0,-0.58,-68525776.0,-0.99
52,688631,莱斯信息,67.5,24.42,106780091.0,5.55,32162496.0,1.67,74617595.0,3.88,-32734638.0,-1.7,-74045462.0,-3.85
53,601088,中国神华,38.64,0.34,105115300.0,2.57,-10872604.0,-0.27,115987904.0,2.84,-53435408.0,-1.31,-51679888.0,-1.27
54,000415,渤海租赁,2.26,9.18,104318748.0,20.05,118927126.0,22.86,-14608378.0,-2.81,-60719057.0,-11.67,-43599691.0,-8.38
55,002526,山东矿机,2.83,6.79,104291844.0,18.62,111865663.0,19.97,-7573819.0,-1.35,-48345908.0,-8.63,-55945935.0,-9.99
56,002747,埃斯顿,18.7,3.49,100013299.0,6.53,115847240.0,7.56,-15833941.0,-1.03,-76109672.0,-4.97,-23903631.0,-1.56
57,300563,神宇股份,15.48,12.75,98868416.0,8.77,127034083.0,11.27,-28165667.0,-2.5,-42901233.0,-3.81,-55967182.0,-4.97
58,002565,顺灏股份,3.16,7.12,98125757.0,23.29,100888836.0,23.94,-2763079.0,-0.66,-50214865.0,-11.92,-47910891.0,-11.37
59,000420,吉林化纤,3.78,5.59,96548107.0,7.1,92588362.0,6.81,3959745.0,0.29,-40243954.0,-2.96,-56304155.0,-4.14
60,603936,博敏电子,8.82,9.43,96526719.0,5.3,127470750.0,7.0,-30944031.0,-1.7,-39802572.0,-2.19,-56724140.0,-3.11
61,000975,银泰黄金,16.92,1.14,96236772.0,7.78,41605863.0,3.36,54630909.0,4.42,2472501.0,0.2,-98709272.0,-7.98
62,300832,新产业,67.29,-12.61,95157932.0,6.22,-1405715.0,-0.09,96563647.0,6.31,-131848625.0,-8.62,36690694.0,2.4
63,000680,山推股份,7.86,19.27,95112026.0,5.01,110373454.0,5.82,-15261428.0,-0.8,-25056009.0,-1.32,-70056020.0,-3.69
64,603050,科林电气,24.74,9.86,94824931.0,7.12,95127970.0,7.14,-303039.0,-0.02,-16318716.0,-1.22,-78506216.0,-5.89
65,000572,海马汽车,4.34,5.85,91653565.0,8.98,68338072.0,6.69,23315493.0,2.28,-21487616.0,-2.11,-70165948.0,-6.87
66,002712,思美传媒,5.75,8.08,89622736.0,9.34,93746974.0,9.77,-4124238.0,-0.43,-35486931.0,-3.7,-54135804.0,-5.64
67,603369,今世缘,59.39,4.08,88701200.0,11.97,47057562.0,6.35,41643638.0,5.62,-22917796.0,-3.09,-65783405.0,-8.88
68,300020,银江技术,7.89,8.08,88682971.0,5.24,32802995.0,1.94,55879976.0,3.3,30422385.0,1.8,-119105356.0,-7.04
69,603261,立航科技,39.67,-0.08,88624228.0,9.93,92005400.0,10.31,-3381172.0,-0.38,-72919618.0,-8.17,-15704611.0,-1.76
70,001696,宗申动力,7.38,7.89,88019434.0,9.33,108341372.0,11.48,-20321938.0,-2.15,-74671256.0,-7.91,-13348176.0,-1.41
