当前排名,代码,股票名称,最新价,涨跌额,涨跌幅
1,SZ000977,浪潮信息,44.35,4.435,10.0
2,SZ002085,万丰奥威,15.74,1.572426,9.99
3,SZ000099,中信海直,14.29,1.4304289999999997,10.01
4,SZ300411,金盾股份,16.34,3.263098,19.97
5,SH600580,卧龙电驱,17.44,1.7492320000000001,10.03
6,SZ301091,深城交,35.88,7.176,20.0
7,SZ002456,欧菲光,10.06,0.7866920000000001,7.82
8,SZ300975,商络电子,14.96,2.56564,17.15
9,SH603679,华体科技,13.98,1.3966020000000001,9.99
10,SH600683,京投发展,5.8,-0.24881999999999999,-4.29
11,SZ300107,建新股份,6.52,1.3085639999999998,20.07
12,SZ002097,山河智能,8.29,0.8248549999999999,9.95
13,SZ300484,蓝海华腾,14.76,2.952,20.0
14,SH600843,上工申贝,6.24,0.62712,10.05
15,SH600165,宁科生物,4.4,0.44,10.0
16,SZ002413,雷科防务,4.68,0.473616,10.12
17,SH603721,中广天择,43.0,2.0769,4.83
18,SH603810,丰山集团,14.39,1.441878,10.02
19,SZ002130,沃尔核材,11.14,0.567026,5.09
20,SZ300738,奥飞数据,13.9,1.5568,11.2
21,SZ300083,创世纪,7.13,0.939021,13.17
22,SZ300292,吴通控股,3.88,0.780656,20.12
23,SZ300735,光弘科技,29.17,4.6351130000000005,15.89
24,SZ002281,光迅科技,38.52,2.765736,7.18
25,SZ000561,烽火电子,8.2,0.82574,10.07
26,SZ002676,顺威股份,5.08,0.505968,9.96
27,SZ002230,科大讯飞,49.62,4.078764,8.22
28,SZ002361,神剑股份,3.58,0.36337,10.15
29,SH605180,华生科技,18.73,1.8692540000000002,9.98
30,SZ001696,宗申动力,7.38,0.7372620000000001,9.99
31,SZ300075,数字政通,17.49,3.0817379999999996,17.62
32,SH603663,三祥新材,13.56,1.353288,9.98
33,SH603261,立航科技,39.67,3.970967,10.01
34,SZ002625,光启技术,20.28,1.4804400000000002,7.3
35,SZ000903,云内动力,2.7,0.2754,10.2
36,SZ000420,吉林化纤,3.78,0.373464,9.88
37,SH603006,联明股份,13.31,1.331,10.0
38,SZ300418,昆仑万维,40.64,4.685791999999999,11.53
39,SZ300988,津荣天宇,24.86,3.2069400000000003,12.9
40,SZ002553,南方精工,12.28,1.2329119999999998,10.04
41,SZ002579,中京电子,8.15,0.814185,9.99
42,SZ000628,高新发展,78.6,-1.38336,-1.76
43,SH603607,京华激光,16.23,1.627869,10.03
44,SH688631,莱斯信息,67.5,13.5,20.0
45,SZ002520,日发精机,5.8,0.58348,10.06
46,SH601138,工业富联,23.45,1.08808,4.64
47,SH603389,亚振家居,8.25,0.825,10.0
48,SH605277,新亚电子,16.94,1.694,10.0
49,SZ002526,山东矿机,2.83,0.286396,10.12
50,SH600733,北汽蓝谷,7.57,0.290688,3.84
51,SZ002148,北纬科技,5.34,0.5393399999999999,10.1
52,SZ002528,英飞拓,7.07,0.7034649999999999,9.95
53,SZ002967,广电计量,14.85,1.485,10.0
54,SH603221,爱丽家居,14.32,1.429136,9.98
55,SH603327,福蓉科技,19.89,1.6110900000000001,8.1
56,SZ001359,N平安电,33.11,29.931440000000002,90.4
