序号,代码,名称,最新价,今天涨跌幅,今日主力净流入-净额,今日主力净流入-净占比,今日超大单净流入-净额,今日超大单净流入-净占比,今日大单净流入-净额,今日大单净流入-净占比,今日中单净流入-净额,今日中单净流入-净占比,今日小单净流入-净额,今日小单净流入-净占比
1,600875,东方电气,15.45,1.91,47197240.0,16.38,9347709.0,3.24,37849531.0,13.14,-29798374.0,-10.34,-17398868.0,-6.04
2,300820,英杰电气,51.39,2.45,24467224.0,17.92,33587707.0,24.61,-9120483.0,-6.68,-13155295.0,-9.64,-11311929.0,-8.29
3,601727,上海电气,4.2,1.2,16979941.0,16.5,11668204.0,11.34,5311737.0,5.16,-3929964.0,-3.82,-13049977.0,-12.68
4,688719,爱科赛博,45.58,1.04,10049465.0,13.8,1770377.0,2.43,8279088.0,11.37,16769890.0,23.03,-26819356.0,-36.83
5,002630,华西能源,2.61,1.95,6017931.0,5.84,-1394381.0,-1.35,7412312.0,7.2,-8368327.0,-8.12,2350397.0,2.28
6,002851,麦格米特,23.95,0.21,2988747.0,2.97,-4641502.0,-4.61,7630249.0,7.58,-6355519.0,-6.32,3366772.0,3.35
7,300870,欧陆通,44.02,3.09,2585043.0,2.29,4612029.0,4.08,-2026986.0,-1.79,-6882636.0,-6.09,4297592.0,3.8
8,301386,未来电器,20.54,2.04,2125252.0,6.37,1514277.0,4.54,610975.0,1.83,-1666415.0,-5.0,-458837.0,-1.38
9,600202,哈空调,4.85,3.19,1776395.0,6.1,200693.0,0.69,1575702.0,5.41,-3220047.0,-11.05,1443652.0,4.95
10,300376,易事特,5.93,1.54,1699040.0,2.49,-710414.0,-1.04,2409454.0,3.52,-2117413.0,-3.1,418372.0,0.61
11,002366,融发核电,4.49,1.81,1060171.0,1.65,619494.0,0.96,440677.0,0.69,1180277.0,1.84,-2240448.0,-3.49
12,300593,新雷能,9.91,3.88,937046.0,0.75,-225804.0,-0.18,1162850.0,0.93,3412275.0,2.74,-4349323.0,-3.49
13,301516,中远通,20.2,2.49,655110.0,0.54,-159212.0,-0.13,814322.0,0.67,-3957311.0,-3.27,3302201.0,2.73
14,300105,龙源技术,5.96,2.76,523292.0,1.1,-765316.0,-1.61,1288608.0,2.71,176747.0,0.37,-700039.0,-1.47
15,002665,首航高科,2.14,0.94,-518014.0,-0.78,2390863.0,3.59,-2908877.0,-4.36,113444.0,0.17,404570.0,0.61
16,002534,西子洁能,10.2,2.0,-534223.0,-1.5,0.0,0.0,-534223.0,-1.5,41281.0,0.12,492943.0,1.39
17,300713,英可瑞,14.19,4.96,-1335918.0,-1.95,0.0,0.0,-1335918.0,-1.95,-6668210.0,-9.73,8004128.0,11.68
18,300153,科泰电源,6.34,3.09,-1422703.0,-5.12,-1050615.0,-3.78,-372088.0,-1.34,1965413.0,7.08,-542710.0,-1.95
19,688551,科威尔,50.17,1.79,-1527546.0,-5.99,-1557545.0,-6.1,29999.0,0.12,946044.0,3.71,581502.0,2.28
20,002364,中恒电气,6.35,3.08,-2179075.0,-1.69,2302780.0,1.78,-4481855.0,-3.47,-2572291.0,-1.99,4751366.0,3.68
21,600475,华光环能,11.07,0.0,-2422416.0,-4.03,-598745.0,-1.0,-1823671.0,-3.03,-1217938.0,-2.02,3640356.0,6.05
22,600405,动力源,4.62,3.13,-2476013.0,-3.6,65544.0,0.1,-2541557.0,-3.69,-2213951.0,-3.21,4689964.0,6.81
23,002255,海陆重工,5.01,1.83,-2762248.0,-4.29,-2312040.0,-3.59,-450208.0,-0.7,2605892.0,4.04,156357.0,0.24
24,301327,华宝新能,62.15,1.47,-3262988.0,-6.31,1137649.0,2.2,-4400637.0,-8.51,1626355.0,3.14,1636634.0,3.16
25,300491,通合科技,18.35,2.34,-4580782.0,-7.27,-931020.0,-1.48,-3649762.0,-5.79,-712636.0,-1.13,5293418.0,8.4
26,002227,奥 特 迅,9.63,2.77,-4653076.0,-8.45,0.0,0.0,-4653076.0,-8.45,639757.0,1.16,4013320.0,7.29
27,300693,盛弘股份,29.75,1.5,-8447179.0,-3.84,1842086.0,0.84,-10289265.0,-4.68,3772099.0,1.72,4675080.0,2.13
28,002335,科华数据,28.77,3.12,-11326871.0,-2.12,-13563294.0,-2.54,2236423.0,0.42,3354677.0,0.63,7972194.0,1.49
29,002518,科士达,23.4,0.69,-14482759.0,-7.02,-2527211.0,-1.23,-11955548.0,-5.8,9763185.0,4.73,4719574.0,2.29
