日期,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
2023-09-26,-131306149.0,-6.91,-76979061.0,-4.05,-54327088.0,-2.86,-9867840.0,-0.52,141174000.0,7.43
2023-09-27,31362977.0,1.14,-38002959.0,-1.38,69365936.0,2.51,-33900192.0,-1.23,2537216.0,0.09
2023-09-28,-2355524.0,-0.1,47453708.0,2.01,-49809232.0,-2.11,-12353696.0,-0.52,14709216.0,0.62
2023-10-09,111540225.0,2.97,69224129.0,1.84,42316096.0,1.13,4545440.0,0.12,-116085664.0,-3.09
2023-10-10,-139905495.0,-4.1,-94829911.0,-2.78,-45075584.0,-1.32,69020240.0,2.02,70885264.0,2.08
2023-10-11,-102529996.0,-3.17,22739476.0,0.7,-125269472.0,-3.88,-17074480.0,-0.53,119604464.0,3.7
2023-10-12,135629409.0,3.74,80667473.0,2.22,54961936.0,1.52,-20304592.0,-0.56,-115324800.0,-3.18
2023-10-13,-16672316.0,-0.48,26825908.0,0.77,-43498224.0,-1.26,-68171120.0,-1.97,84843424.0,2.45
2023-10-16,-318777178.0,-8.54,-158286890.0,-4.24,-160490288.0,-4.3,116778752.0,3.13,201998448.0,5.41
2023-10-17,-118229568.0,-3.98,18994720.0,0.64,-137224288.0,-4.62,4837872.0,0.16,113391728.0,3.82
2023-10-18,-249096561.0,-8.98,-122295873.0,-4.41,-126800688.0,-4.57,-15052256.0,-0.54,264148816.0,9.52
2023-10-19,-185513886.0,-7.38,-71387630.0,-2.84,-114126256.0,-4.54,-33284752.0,-1.32,218798640.0,8.7
2023-10-20,173423368.0,5.18,166084168.0,4.96,7339200.0,0.22,3189136.0,0.1,-176612512.0,-5.27
2023-10-23,-317252607.0,-10.16,-127480191.0,-4.08,-189772416.0,-6.08,23578480.0,0.76,293674128.0,9.41
2023-10-24,-129868519.0,-4.59,-47542391.0,-1.68,-82326128.0,-2.91,12741440.0,0.45,117127088.0,4.14
2023-10-25,-149197752.0,-4.8,-89648408.0,-2.89,-59549344.0,-1.92,82607936.0,2.66,66589808.0,2.14
2023-10-26,-73910569.0,-2.44,-1913321.0,-0.06,-71997248.0,-2.37,36946320.0,1.22,36964256.0,1.22
2023-10-27,78430051.0,2.18,1727283.0,0.05,76702768.0,2.13,-14049792.0,-0.39,-64380256.0,-1.79
2023-10-30,-129940087.0,-3.7,-79973607.0,-2.28,-49966480.0,-1.42,101416400.0,2.89,28523696.0,0.81
2023-10-31,-79302200.0,-2.09,-9708024.0,-0.26,-69594176.0,-1.84,73998848.0,1.95,5303392.0,0.14
2023-11-01,-19266774.0,-0.69,-15652038.0,-0.56,-3614736.0,-0.13,-22585696.0,-0.81,41852448.0,1.5
2023-11-02,-218648166.0,-8.17,-85286902.0,-3.19,-133361264.0,-4.98,-9783488.0,-0.37,228431664.0,8.54
2023-11-03,175694103.0,4.86,227865287.0,6.3,-52171184.0,-1.44,-227551728.0,-6.29,51857616.0,1.43
2023-11-06,20602928.0,0.44,-13987696.0,-0.3,34590624.0,0.74,-82953696.0,-1.78,62350752.0,1.33
2023-11-07,46689093.0,1.21,7693445.0,0.2,38995648.0,1.01,-14900864.0,-0.39,-31788240.0,-0.82
2023-11-08,-125594524.0,-3.48,-20913468.0,-0.58,-104681056.0,-2.9,-46882016.0,-1.3,172476544.0,4.78
2023-11-09,-73263260.0,-2.23,-49413580.0,-1.5,-23849680.0,-0.72,-14586848.0,-0.44,87850112.0,2.67
2023-11-10,-59338764.0,-2.46,-16295612.0,-0.68,-43043152.0,-1.78,-38671536.0,-1.6,98010288.0,4.06
2023-11-13,-70357690.0,-2.38,-52201130.0,-1.77,-18156560.0,-0.61,-6142640.0,-0.21,76500336.0,2.59
2023-11-14,15732296.0,0.49,-42599960.0,-1.33,58332256.0,1.81,-34358736.0,-1.07,18626448.0,0.58
2023-11-15,160294024.0,3.76,54147944.0,1.27,106146080.0,2.49,-37454816.0,-0.88,-122839200.0,-2.88
2023-11-16,-192386368.0,-5.64,-87379056.0,-2.56,-105007312.0,-3.08,3412800.0,0.1,188973568.0,5.54
2023-11-17,95307467.0,2.17,32005499.0,0.73,63301968.0,1.44,74983296.0,1.7,-170290752.0,-3.87
2023-11-20,-112973688.0,-3.2,-72750744.0,-2.06,-40222944.0,-1.14,1255200.0,0.04,111718496.0,3.17
2023-11-21,-185067893.0,-5.15,-139188101.0,-3.87,-45879792.0,-1.28,-10909792.0,-0.3,195977664.0,5.45
2023-11-22,-213591401.0,-7.15,-67324073.0,-2.25,-146267328.0,-4.9,20733696.0,0.69,192857712.0,6.45
2023-11-23,-67008147.0,-2.72,-33639571.0,-1.37,-33368576.0,-1.36,39938496.0,1.62,27069648.0,1.1
2023-11-24,-162816829.0,-6.84,-37723469.0,-1.59,-125093360.0,-5.26,15338480.0,0.64,147478352.0,6.2
2023-11-27,-61351919.0,-2.3,-312207.0,-0.01,-61039712.0,-2.29,-13749040.0,-0.51,75100960.0,2.81
