序号,代码,名称,最新价,今日排行榜-主力净占比,今日排行榜-今日排名,今日排行榜-今日涨跌,5日排行榜-主力净占比,5日排行榜-5日排名,5日排行榜-5日涨跌,10日排行榜-主力净占比,10日排行榜-10日排名,10日排行榜-10日涨跌,所属板块
0,200056,皇庭B,1.14,75.8,1.0,0.88,-3.48,2522,0.88,-4.95,4127,0.88,房地产开发
1,000561,烽火电子,8.2,62.5,2.0,10.07,2.55,460,-0.36,1.42,578,8.75,通信设备
2,200761,本钢板Ｂ,1.6,61.96,3.0,0.63,19.24,6,2.56,15.95,4,15.11,钢铁行业
3,603232,格尔软件,12.64,51.05,4.0,10.01,1.92,576,1.04,1.36,601,8.59,软件开发
4,603679,华体科技,13.98,48.36,5.0,9.99,11.54,25,18.58,4.41,130,25.95,光学光电子
5,002599,盛通股份,6.86,46.81,6.0,9.94,-4.65,3080,-4.46,-6.26,4611,-4.72,包装材料
6,002361,神剑股份,3.58,40.83,7.0,10.15,-10.14,4840,-10.05,-2.58,2641,11.88,塑料制品
7,300965,恒宇信通,40.63,39.66,8.0,19.99,6.03,131,2.68,4.19,148,14.97,航天航空
8,000903,云内动力,2.7,39.62,9.0,10.2,1.54,659,9.76,1.49,556,17.9,汽车零部件
9,605180,华生科技,18.73,38.56,10.0,9.98,1.06,770,61.05,1.89,473,84.53,纺织服装
10,002565,顺灏股份,3.16,38.09,11.0,10.1,16.53,8,4.98,9.9,12,12.86,包装材料
11,600191,华资实业,5.3,36.8,12.0,9.96,9.52,45,2.12,2.04,435,5.58,食品饮料
12,002721,*ST金一,2.98,36.37,13.0,4.93,-8.62,4550,2.05,-7.61,4917,5.67,珠宝首饰
13,002520,日发精机,5.8,35.84,14.0,10.06,-1.55,1642,-6.45,0.77,767,8.01,通用设备
14,000099,中信海直,14.29,35.04,15.0,10.01,-0.29,1176,7.04,-1.0,1609,19.78,航空机场
15,002963,豪尔赛,12.22,33.77,16.0,9.99,7.73,79,2.0,4.16,155,11.8,装修装饰
16,002999,天禾股份,6.75,33.66,17.0,9.93,11.76,23,7.83,8.88,16,15.38,化肥行业
17,002526,山东矿机,2.83,33.42,18.0,10.12,6.03,129,0.71,3.83,183,9.69,专用设备
18,605298,必得科技,12.97,32.78,19.0,10.01,-0.48,1234,-3.21,-1.06,1645,-9.24,交运设备
19,301536,N星宸,48.1,32.77,20.0,197.65,32.77,1,197.65,32.77,1,197.65,电子元件
20,002579,中京电子,8.15,32.04,21.0,9.99,4.4,248,-3.32,-0.22,1173,0.25,电子元件
21,300989,蕾奥规划,18.74,31.28,22.0,19.97,15.21,12,9.91,8.82,17,19.9,工程咨询服务
22,688215,瑞晟智能,27.16,31.18,23.0,5.6,-2.62,2155,-5.83,-3.44,3212,0.3,专用设备
23,301329,信音电子,20.34,31.1,24.0,20.0,5.25,174,-0.29,2.72,303,14.27,电子元件
24,600647,*ST同达,9.79,30.59,25.0,5.04,2.37,492,0.1,-0.46,1306,1.87,贸易行业
25,002217,合力泰,1.99,30.41,26.0,9.94,1.7,622,-6.57,-0.64,1399,-8.72,光学光电子
26,002638,勤上股份,2.32,30.36,27.0,9.95,-1.27,1538,-1.69,-3.32,3134,4.5,光学光电子
27,605118,力鼎光电,19.18,30.03,28.0,9.98,1.02,780,-2.24,0.66,809,8.06,光学光电子
28,603607,京华激光,16.23,30.0,29.0,10.03,4.19,264,8.71,3.15,246,17.86,造纸印刷
29,603261,立航科技,39.67,29.96,30.0,10.01,-2.85,2257,-19.06,-0.42,1285,-4.64,航天航空
30,002981,朝阳科技,31.6,29.68,31.0,9.99,3.2,364,-2.65,1.01,705,6.04,消费电子
31,688443,智翔金泰-U,40.35,29.56,32.0,1.15,16.89,7,2.46,5.6,70,0.17,生物制品
32,300292,吴通控股,3.88,29.05,33.0,20.12,10.07,33,10.86,7.98,24,22.01,通信服务
33,002528,英飞拓,7.07,28.99,34.0,9.95,2.33,498,-3.28,0.59,834,-1.26,软件开发
34,600094,大名城,3.06,28.66,35.0,3.38,2.47,474,4.08,-0.48,1314,2.68,房地产开发
35,002636,金安国纪,7.45,28.57,36.0,10.04,3.13,372,-2.36,4.78,106,11.03,电子元件
36,603992,松霖科技,18.0,27.74,37.0,10.02,11.4,28,4.77,4.2,147,6.76,装修建材
37,000415,渤海租赁,2.26,27.35,38.0,10.24,12.44,20,5.12,4.72,108,6.1,多元金融
38,002413,雷科防务,4.68,27.24,39.0,10.12,-0.13,1129,-3.9,1.36,598,7.34,通信设备
39,002676,顺威股份,5.08,26.73,40.0,9.96,16.52,9,20.38,7.77,28,30.93,家电行业
40,300107,建新股份,6.52,26.38,41.0,20.07,2.54,462,8.67,3.2,242,32.25,化学制品
41,600804,ST鹏博士,3.32,26.33,42.0,5.06,-4.73,3117,-2.92,-6.18,4580,-1.19,通信服务
42,600982,宁波能源,3.78,25.95,43.0,1.34,2.18,519,-2.07,-1.52,1906,-1.05,电力行业
43,000701,厦门信达,4.79,25.94,44.0,10.11,8.47,60,5.04,6.46,47,12.18,商业百货
44,000977,浪潮信息,44.35,25.82,45.0,10.0,9.19,49,8.01,5.2,86,12.85,计算机设备
45,300889,爱克股份,13.32,25.47,46.0,20.0,11.11,29,7.68,5.18,87,16.33,光学光电子
46,002792,通宇通讯,16.28,25.29,47.0,10.0,0.71,858,-3.27,-0.03,1090,4.23,通信设备
47,000571,新大洲A,2.97,25.19,48.0,10.0,2.69,429,-12.13,-5.73,4439,16.02,煤炭行业
48,002967,广电计量,14.85,24.37,49.0,10.0,-4.38,2956,-5.89,1.59,541,17.11,专业服务
49,688767,博拓生物,25.52,24.31,50.0,2.94,2.72,425,-4.13,-3.07,2956,-1.62,医疗器械
50,600416,湘电股份,13.26,24.16,51.0,2.08,9.13,50,-7.14,6.71,40,-2.43,电机
51,002637,赞宇科技,8.29,24.12,52.0,2.85,6.93,100,-3.72,7.23,37,4.02,化学制品
52,600990,四创电子,18.06,24.1,53.0,9.99,-7.03,4116,-7.53,-1.85,2133,8.8,通信设备
53,301309,万得凯,23.39,23.06,54.0,3.36,4.82,211,-4.73,2.43,356,-2.66,通用设备
54,600531,豫光金铅,6.38,22.6,55.0,4.25,-4.06,2795,-2.0,-2.55,2621,5.8,有色金属
55,600611,大众交通,2.7,22.38,56.0,1.12,4.87,206,-2.17,4.32,138,-1.1,铁路公路
56,002553,南方精工,12.28,22.37,57.0,10.04,-3.7,2616,-5.97,0.47,883,4.33,汽车零部件
57,600232,金鹰股份,4.95,22.27,58.0,6.22,8.01,69,0.81,4.06,162,5.54,纺织服装
58,001359,N平安电,33.11,22.25,59.0,90.4,22.25,4,90.4,22.25,3,90.4,非金属材料
59,600653,申华控股,1.64,22.25,60.0,1.23,4.63,225,-4.09,-2.26,2426,0.61,汽车服务
60,603369,今世缘,59.39,22.11,61.0,1.18,6.32,116,0.29,4.57,121,7.84,酿酒行业
61,688146,中船特气,25.85,22.04,62.0,4.23,8.05,67,-7.71,2.2,398,-5.93,电子化学品
62,300563,神宇股份,15.48,21.9,63.0,15.01,7.61,87,16.74,5.45,76,26.89,通信设备
63,605080,浙江自然,18.96,21.86,64.0,9.98,3.93,287,0.42,-1.55,1926,-2.27,纺织服装
64,688279,峰岹科技,102.46,21.81,65.0,3.69,10.99,31,0.57,4.58,120,-3.34,半导体
65,688648,中邮科技,26.93,21.78,66.0,20.01,7.79,75,5.48,3.52,215,11.65,通用设备
66,600843,上工申贝,6.24,21.67,67.0,10.05,-2.29,1985,-4.44,-1.36,1804,20.23,专用设备
67,002747,埃斯顿,18.7,21.21,68.0,8.97,-1.75,1742,-3.51,-3.53,3270,-0.58,通用设备
68,002133,广宇集团,2.8,21.2,69.0,1.08,6.1,125,-2.1,1.47,563,2.94,房地产开发
69,000010,美丽生态,2.3,21.01,70.0,3.14,-5.71,3561,-7.63,-3.14,3004,-4.56,工程建设
70,002932,明德生物,21.63,20.84,71.0,10.02,5.28,172,-3.0,4.72,109,11.61,医疗器械
71,600909,华安证券,4.55,20.77,72.0,1.11,5.89,138,-3.81,2.05,428,-2.78,证券
72,002471,中超控股,2.75,20.7,73.0,2.61,-5.25,3331,-5.17,-3.57,3307,-1.08,电网设备
73,000420,吉林化纤,3.78,20.64,74.0,9.88,-0.7,1309,10.2,1.14,660,21.94,化纤行业
74,002398,垒知集团,4.2,20.5,75.0,5.53,1.71,619,-4.11,1.02,700,0.0,装修建材
75,000712,锦龙股份,11.91,20.48,76.0,7.39,3.31,341,-4.95,0.94,722,-2.7,证券
76,301002,崧盛股份,17.15,20.35,77.0,20.01,9.21,48,10.72,4.39,132,17.39,电网设备
77,603058,永吉股份,8.12,20.3,78.0,10.03,11.62,24,6.7,6.68,41,12.31,造纸印刷
78,603357,设计总院,9.91,20.25,79.0,9.99,-4.42,2970,-4.99,2.6,326,16.31,工程咨询服务
79,603967,中创物流,9.34,20.24,80.0,10.01,3.65,309,4.47,1.19,648,10.4,物流行业
