日期,上证-收盘价,上证-涨跌幅,深证-收盘价,深证-涨跌幅,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
2023-09-26,3102.27,-0.43,10060.15,-0.6,-16167088384.0,-2.43,-6000710144.0,-0.9,-10166378240.0,-1.53,-591441920.0,-0.09,16758534144.0,2.52
2023-09-27,3107.32,0.16,10104.32,0.44,-5217602560.0,-0.73,34398208.0,0.0,-5252000768.0,-0.73,-6789443584.0,-0.95,12007051264.0,1.68
2023-09-28,3110.48,0.1,10109.53,0.05,-9243399936.0,-1.29,-2143087104.0,-0.3,-7100312832.0,-0.99,-1803546624.0,-0.25,11046940672.0,1.54
2023-10-09,3096.92,-0.44,10106.96,-0.03,-9805998592.0,-1.27,-2965766400.0,-0.39,-6840232192.0,-0.89,2254397440.0,0.29,7551598592.0,0.98
2023-10-10,3075.24,-0.7,10050.04,-0.56,-19493089280.0,-2.52,-6879053312.0,-0.89,-12614035968.0,-1.63,616042496.0,0.08,18877050880.0,2.44
2023-10-11,3078.96,0.12,10084.89,0.35,-6733737216.0,-0.8,2023273216.0,0.24,-8757010432.0,-1.04,-3473584128.0,-0.41,10207313920.0,1.22
2023-10-12,3107.9,0.94,10168.49,0.83,-5614431232.0,-0.68,1886290944.0,0.23,-7500722176.0,-0.9,-2815795200.0,-0.34,8430227456.0,1.01
2023-10-13,3088.1,-0.64,10068.28,-0.99,-28803404032.0,-3.56,-11369761280.0,-1.41,-17433642752.0,-2.16,2154430464.0,0.27,26648965120.0,3.3
2023-10-16,3073.81,-0.46,9924.92,-1.42,-35479095040.0,-4.36,-15968566016.0,-1.96,-19510529024.0,-2.4,4724441088.0,0.58,30754652160.0,3.78
2023-10-17,3083.5,0.32,9940.22,0.15,-16124075520.0,-2.19,-6416497664.0,-0.87,-9707577856.0,-1.32,121147392.0,0.02,16002928640.0,2.18
2023-10-18,3058.71,-0.8,9816.68,-1.24,-30503891456.0,-3.98,-11003665920.0,-1.44,-19500225536.0,-2.54,1231081472.0,0.16,29272801280.0,3.82
2023-10-19,3005.39,-1.74,9655.09,-1.65,-33658478848.0,-4.14,-15037899008.0,-1.85,-18620579840.0,-2.29,2774609920.0,0.34,30883872768.0,3.8
