序号,名称,今日涨跌幅,今日主力净流入-净额,今日主力净流入-净占比,今日超大单净流入-净额,今日超大单净流入-净占比,今日大单净流入-净额,今日大单净流入-净占比,今日中单净流入-净额,今日中单净流入-净占比,今日小单净流入-净额,今日小单净流入-净占比,今日主力净流入最大股
1,通信设备,4.58,2088462848.0,4.55,2035209472.0,4.44,53253376.0,0.12,-983148544.0,-2.14,-1104799232.0,-2.41,光迅科技
2,软件开发,4.11,1846435104.0,3.96,1047402016.0,2.25,799033088.0,1.71,-867511552.0,-1.86,-876854784.0,-1.88,科大讯飞
3,计算机设备,3.99,1845260720.0,7.49,1914141104.0,7.77,-68880384.0,-0.28,-1097762816.0,-4.46,-748876800.0,-3.04,浪潮信息
4,光学光电子,3.83,1121823008.0,5.29,1081715488.0,5.1,40107520.0,0.19,-484380416.0,-2.28,-638438144.0,-3.01,欧菲光
5,电子元件,3.52,1111473360.0,4.12,542299344.0,2.01,569174016.0,2.11,-325217280.0,-1.21,-786544128.0,-2.92,N星宸
6,互联网服务,4.23,1016949616.0,2.22,611216496.0,1.33,405733120.0,0.89,-614760448.0,-1.34,-391606272.0,-0.86,昆仑万维
7,通用设备,2.86,607460096.0,2.8,446791680.0,2.06,160668416.0,0.74,-214450688.0,-0.99,-401750272.0,-1.85,埃斯顿
8,贵金属,2.66,558829088.0,8.24,246758624.0,3.64,312070464.0,4.6,-71800688.0,-1.06,-487028384.0,-7.18,紫金矿业
9,家电行业,2.49,531278864.0,2.9,521179152.0,2.85,10099712.0,0.06,-156250368.0,-0.85,-368566272.0,-2.02,四川九洲
10,专用设备,2.82,452443776.0,1.42,676033920.0,2.13,-223590144.0,-0.7,-303268608.0,-0.95,-151854080.0,-0.48,光启技术
11,汽车零部件,2.74,447567200.0,1.47,513800544.0,1.69,-66233344.0,-0.22,-256850944.0,-0.85,-186981632.0,-0.62,万丰奥威
12,通信服务,4.22,425512608.0,4.13,305180944.0,2.96,120331664.0,1.17,-357604656.0,-3.47,-67907968.0,-0.66,吴通控股
13,半导体,2.24,346440656.0,0.9,-26372144.0,-0.07,372812800.0,0.97,43138304.0,0.11,-391394048.0,-1.01,紫光国微
14,消费电子,3.7,320216320.0,0.98,298101248.0,0.91,22115072.0,0.07,-407179776.0,-1.24,86418688.0,0.26,光弘科技
15,航天航空,7.62,295484976.0,2.69,255578336.0,2.33,39906640.0,0.36,-9567008.0,-0.09,-274462944.0,-2.5,立航科技
16,有色金属,2.86,287728528.0,1.77,157530800.0,0.97,130197728.0,0.8,-3943168.0,-0.02,-283904000.0,-1.75,铜陵有色
17,工程咨询服务,4.33,279028528.0,5.92,364318704.0,7.73,-85290176.0,-1.81,-180117104.0,-3.82,-100936368.0,-2.14,深城交
18,小金属,2.48,266545744.0,3.75,132966512.0,1.87,133579232.0,1.88,21537248.0,0.3,-288083008.0,-4.06,洛阳钼业
19,电池,1.28,263404160.0,1.6,52623136.0,0.32,210781024.0,1.28,34275840.0,0.21,-311521792.0,-1.89,宁德时代
20,游戏,3.42,184091520.0,1.7,75689616.0,0.7,108401904.0,1.0,-265926976.0,-2.45,81835456.0,0.75,掌趣科技
21,化纤行业,3.57,162234786.0,4.08,143239106.0,3.61,18995680.0,0.48,10853216.0,0.27,-164590112.0,-4.14,吉林化纤
22,交运设备,2.95,159003376.0,3.35,119984336.0,2.53,39019040.0,0.82,9429872.0,0.2,-168554432.0,-3.55,宗申动力
23,电机,3.06,157573584.0,2.48,181566912.0,2.86,-23993328.0,-0.38,-82132912.0,-1.29,-72038192.0,-1.13,卧龙电驱
24,航空机场,1.73,109967097.0,4.85,126107401.0,5.56,-16140304.0,-0.71,-31988272.0,-1.41,-77978816.0,-3.44,中信海直
25,煤炭行业,1.0,109004400.0,1.31,29840144.0,0.36,79164256.0,0.95,-217886000.0,-2.61,108881616.0,1.31,陕西煤业
26,化肥行业,1.61,101132538.0,3.75,62364762.0,2.31,38767776.0,1.44,6530784.0,0.24,-107663312.0,-3.99,天禾股份
27,包装材料,2.06,96563093.0,3.79,101372949.0,3.98,-4809856.0,-0.19,-74686800.0,-2.93,-21615600.0,-0.85,顺灏股份
28,旅游酒店,1.89,87313184.0,1.4,27280096.0,0.44,60033088.0,0.96,-20041568.0,-0.32,-67271616.0,-1.08,中国中免
29,石油行业,1.72,82609488.0,1.63,5627136.0,0.11,76982352.0,1.52,-73641248.0,-1.45,-8968224.0,-0.18,中国海油
30,多元金融,1.28,76552434.0,3.25,88973250.0,3.78,-12420816.0,-0.53,-27422960.0,-1.16,-49129504.0,-2.09,渤海租赁
31,造纸印刷,2.29,73733152.0,1.6,70177152.0,1.53,3556000.0,0.08,-129984816.0,-2.83,62367664.0,1.36,京华激光
32,仪器仪表,2.83,73191153.0,1.46,-10900831.0,-0.22,84091984.0,1.67,-38836416.0,-0.77,-35559280.0,-0.71,柯力传感
