序号,名称,10日涨跌幅,10日主力净流入-净额,10日主力净流入-净占比,10日超大单净流入-净额,10日超大单净流入-净占比,10日大单净流入-净额,10日大单净流入-净占比,10日中单净流入-净额,10日中单净流入-净占比,10日小单净流入-净额,10日小单净流入-净占比,10日主力净流入最大股
1,贵金属,2.41,135534160.0,0.22,-108743632.0,-0.17,244277792.0,0.39,-527987584.0,-0.84,392453472.0,0.62,紫金矿业
2,工程机械,-0.73,16186512.0,0.03,342058736.0,0.59,-325872224.0,-0.56,-521890224.0,-0.9,342241904.0,0.59,三一重工
3,农药兽药,1.66,-126465032.0,-0.42,246037096.0,0.82,-372502128.0,-1.25,71891728.0,0.24,26629152.0,0.09,辉丰股份
4,公用事业,0.9,-152878201.0,-1.15,-85976162.0,-0.64,-66902039.0,-0.5,-56867920.0,-0.43,209746128.0,1.57,京能热力
5,房地产服务,-0.17,-262979994.0,-1.46,10628710.0,0.06,-273608704.0,-1.52,15717760.0,0.09,247262224.0,1.37,新大正
6,采掘行业,3.18,-305301672.0,-1.14,51097976.0,0.19,-356399648.0,-1.33,289676544.0,1.08,15625104.0,0.06,海油工程
7,化纤行业,3.9,-325919424.0,-0.93,-79437024.0,-0.23,-246482400.0,-0.7,251168704.0,0.72,85687200.0,0.24,中简科技
8,汽车服务,4.53,-368225910.0,-2.08,-187130436.0,-1.06,-181095474.0,-1.03,-7450160.0,-0.04,398003136.0,2.25,中国汽研
9,非金属材料,-0.33,-399919231.0,-0.79,12238241.0,0.02,-412157472.0,-0.81,296672624.0,0.59,45715184.0,0.09,N平安电
10,家用轻工,2.58,-413590876.0,-1.82,-1613740.0,-0.01,-411977136.0,-1.82,-121173184.0,-0.53,521555936.0,2.3,晨光股份
11,珠宝首饰,-1.7,-420142169.0,-2.45,-13135992.0,-0.08,-407006177.0,-2.37,-54138816.0,-0.32,474281040.0,2.77,老凤祥
12,工程咨询服务,2.62,-430759005.0,-1.16,284731443.0,0.76,-715490448.0,-1.92,-419421984.0,-1.13,841210576.0,2.26,深城交
13,钢铁行业,0.16,-432750128.0,-0.67,-77793664.0,-0.12,-354956464.0,-0.55,385613376.0,0.59,40568624.0,0.06,沙钢股份
14,酿酒行业,-2.79,-450883280.0,-0.31,-934504016.0,-0.64,483620736.0,0.33,-1122620528.0,-0.76,1573503952.0,1.07,五 粮 液
15,专业服务,0.62,-459926832.0,-1.1,80206592.0,0.19,-540133424.0,-1.29,258419056.0,0.62,9344432.0,0.02,广电计量
16,水泥建材,-1.58,-495864977.0,-1.79,-168448961.0,-0.61,-327416016.0,-1.18,-185070224.0,-0.67,680935168.0,2.46,金隅集团
17,燃气,0.01,-499730301.0,-3.21,-153859424.0,-0.99,-345870877.0,-2.22,-23619872.0,-0.15,530221040.0,3.4,凯添燃气
18,教育,-2.99,-515556005.0,-1.54,-78478309.0,-0.23,-437077696.0,-1.3,-458024800.0,-1.37,973580784.0,2.9,美吉姆
19,橡胶制品,0.75,-517117985.0,-1.36,-208094305.0,-0.55,-309023680.0,-0.81,-16065360.0,-0.04,461380272.0,1.21,森麒麟
20,航运港口,0.11,-517795385.0,-1.28,-387090649.0,-0.95,-130704736.0,-0.32,65022608.0,0.16,397802656.0,0.98,招商南油
21,综合行业,-1.12,-576110396.0,-3.15,-179192952.0,-0.98,-396917444.0,-2.17,-99038192.0,-0.54,675148608.0,3.69,东阳光
22,包装材料,2.54,-589448657.0,-2.43,-23078769.0,-0.1,-566369888.0,-2.33,-178071184.0,-0.73,763495696.0,3.14,顺灏股份
